what,kind,bundleId,bundleVersion,description,time
started,bundle,kr.re.etri.tpl.taskmodel.edit,1.0.0,kr.re.etri.tpl.taskmodel.edit,1254964088343
opened,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254964088343
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254964090578
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.TaskNavigatorViewPart,1254964093515
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1254964097937
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1254964104203
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.TaskNavigatorViewPart,1254964105328
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1254964122562
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254964175578
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254964304593
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.TaskNavigatorViewPart,1254964315625
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1254964328500
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1254964337640
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.TaskNavigatorViewPart,1254964338750
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254964345906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254964410562
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254964413765
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254964511578
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254964513453
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254964547437
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254964548968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254964754468
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254964761828
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254965027921
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ModelNavigatorViewPart,1254965029765
