what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.properties.tabbed,3.4.2.M20090127-1700,org.eclipse.ui.views.properties.tabbed,1254721708562
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ProjectNavigatorView,1254721708640
started,bundle,org.eclipse.nab.core,0.9.9.200806181757,org.eclipse.nab.core,1254721709000
stopped,bundle,org.eclipse.nab.mwt.jni,3.97.12.200806181757,org.eclipse.nab.mwt.jni,1254721709031
stopped,bundle,org.eclipse.nab.mwt,0.9.9.200806181757,org.eclipse.nab.mwt,1254721709046
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1254721710109
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721717140
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721833875
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721837015
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721844359
opened,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.task.controller,1254721844390
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.task.controller,1254721844437
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1254721844437
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1254721844437
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721850125
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721855875
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ProjectNavigatorView,1254721855890
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254721856015
opened,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.editors.TPLEditor,1254721856812
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.editors.TPLEditor,1254721856906
closed,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254721856937
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ProjectNavigatorView,1254721858703
closed,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.editors.TPLEditor,1254721858703
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721860968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721962937
