what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.nab.core,0.9.9.200806181757,org.eclipse.nab.core,1254903383218
stopped,bundle,org.eclipse.nab.mwt.jni,3.97.12.200806181757,org.eclipse.nab.mwt.jni,1254903383281
stopped,bundle,org.eclipse.nab.mwt,0.9.9.200806181757,org.eclipse.nab.mwt,1254903383296
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1254903385593
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1254903385593
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1254903385828
opened,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.editors.TPLEditor,1254903387109
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.editors.TPLEditor,1254903387312
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903411906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903440406
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903440687
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903601968
started,bundle,org.eclipse.ecf.presence,1.4.0.v20081224-1728,org.eclipse.ecf.presence,1254903603734
started,bundle,org.eclipse.ecf.presence.ui,1.2.0.v20081224-1728,org.eclipse.ecf.presence.ui,1254903603734
started,bundle,org.eclipse.ecf.docshare,2.0.0.v20081224-1728,org.eclipse.ecf.docshare,1254903603750
started,bundle,org.eclipse.ecf.example.collab,1.3.0.v20081224-1728,org.eclipse.ecf.example.collab,1254903603890
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1254903603953
started,bundle,ch.ethz.iks.r_osgi.remote,1.0.0.RC2_v20081224-1728,ch.ethz.iks.r_osgi.remote,1254903604171
started,bundle,org.eclipse.ecf.provider.r_osgi,2.0.100.v20081224-1728,org.eclipse.ecf.provider.r_osgi,1254903604171
started,bundle,org.eclipse.ecf.provider.bittorrent,0.3.100.v20081224-1728,org.eclipse.ecf.provider.bittorrent,1254903604218
started,bundle,org.eclipse.ecf.provider.msn,1.2.0.v20081224-1728,org.eclipse.ecf.provider.msn,1254903604218
started,bundle,org.eclipse.ecf.provider.discovery,2.1.100.v20081224-1728,org.eclipse.ecf.provider.discovery,1254903604218
started,bundle,org.eclipse.ecf.discovery,2.1.0.v20081224-1728,org.eclipse.ecf.discovery,1254903604250
started,bundle,org.eclipse.ecf.provider.xmpp,2.0.100.v20081224-1728,org.eclipse.ecf.provider.xmpp,1254903604312
started,bundle,org.eclipse.ecf.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.filetransfer,1254903604312
