what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.provider.filetransfer.efs,1.5.0.v20081224-1728,org.eclipse.ecf.provider.filetransfer.efs,1254903604312
started,bundle,org.eclipse.ecf.provider.filetransfer.scp,2.0.0.v20081224-1728,org.eclipse.ecf.provider.filetransfer.scp,1254903604312
started,bundle,org.eclipse.ecf.provider.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.provider.filetransfer,1254903604312
started,bundle,ch.ethz.iks.slp,1.1.0.v20081224-1728,ch.ethz.iks.slp,1254903604359
started,bundle,org.eclipse.ecf.provider.jslp,2.1.0.v20081224-1728,org.eclipse.ecf.provider.jslp,1254903604359
started,bundle,org.eclipse.ecf.provider.irc,1.3.0.v20081224-1728,org.eclipse.ecf.provider.irc,1254903604375
started,bundle,org.eclipse.ecf.provider.jmdns,2.1.0.v20081224-1728,org.eclipse.ecf.provider.jmdns,1254903604406
started,bundle,org.eclipse.ecf.identity,2.0.0.v20080611-1715,org.eclipse.ecf.identity,1254903604406
started,bundle,org.eclipse.ecf.storage,1.0.0.v20081224-1728,org.eclipse.ecf.storage,1254903604453
started,bundle,org.eclipse.ecf.provider,1.3.0.v20081224-1728,org.eclipse.ecf.provider,1254903604453
started,bundle,org.eclipse.ecf.sharedobject,1.3.100.v20081224-1728,org.eclipse.ecf.sharedobject,1254903604468
started,bundle,org.eclipse.ecf.presence.collab.ui,1.2.0.v20081224-1728,org.eclipse.ecf.presence.collab.ui,1254903604484
started,bundle,org.eclipse.ecf,2.0.0.v20080611-1715,org.eclipse.ecf,1254903604484
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903607390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903607546
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903617343
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903625859
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903630015
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903681765
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903684718
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903685968
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903686031
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903687000
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254903687734
stopped,bundle,org.eclipse.rse.dstore.security,3.0.0.v20080609,org.eclipse.rse.dstore.security,1254903688093
