what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721964234
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722022062
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722025234
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722042546
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722047218
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722083421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722086625
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722097765
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722102531
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722110281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722113984
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722126265
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722134890
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722216265
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.task.controller,1254722216296
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1254722216296
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1254722216296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722221937
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722504015
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ProjectNavigatorView,1254722504031
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722506515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254722510156
opened,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.monitoring.MonitoringControlView,1254722510187
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.monitoring.MonitoringControlView,1254722510234
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1254722510234
