what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.properties.tabbed,3.4.2.M20090127-1700,org.eclipse.ui.views.properties.tabbed,1254979163562
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ProjectNavigatorView,1254979163640
started,bundle,org.eclipse.nab.core,0.9.9.200806181757,org.eclipse.nab.core,1254979164031
stopped,bundle,org.eclipse.nab.mwt.jni,3.97.12.200806181757,org.eclipse.nab.mwt.jni,1254979164046
stopped,bundle,org.eclipse.nab.mwt,0.9.9.200806181757,org.eclipse.nab.mwt,1254979164078
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1254979165906
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1254979165906
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1254979166078
opened,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.editors.TPLEditor,1254979166890
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.editors.TPLEditor,1254979167062
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ProjectNavigatorView,1254979173171
opened,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254979173453
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254979173953
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ProjectNavigatorView,1254979177312
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254979177546
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ModelNavigatorViewPart,1254979179343
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254979192687
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254979250640
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.monitoring.MonitoringLogView,1254979250765
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254979255734
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254979263421
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1254979263562
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1254979263593
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1254979263609
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1254979263609
