what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966674015
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966695515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966700562
opened,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.monitoring.MonitoringControlView,1254966700625
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.monitoring.MonitoringControlView,1254966700656
opened,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.monitoring.MonitoringLogView,1254966700671
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.monitoring.MonitoringLogView,1254966700687
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1254966700687
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1254966700687
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.task.controller,1254966702656
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.monitoring.MonitoringLogView,1254966703453
closed,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.task.controller,1254966703453
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.monitoring.MonitoringControlView,1254966705281
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.monitoring.MonitoringLogView,1254966722390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966731140
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966843125
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966846406
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968132703
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254968142906
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.monitoring.MonitoringLogView,1254968158609
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254968160156
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1254968169312
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968175437
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968240687
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254968240703
