what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1254983898001
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1254983898001
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1254983898173
opened,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.editors.TPLEditor,1254983899126
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.editors.TPLEditor,1254983899314
opened,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.editors.TPLEditor,1254983902501
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.editors.TPLEditor,1254983902564
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254983903189
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ModelNavigatorViewPart,1254983906642
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254983988173
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254984093267
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254984119204
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254984187392
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254984189751
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254984200939
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254984201095
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254984201548
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254984203642
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254984206860
started,bundle,org.eclipse.jdt.core,3.4.4.v_894_R34x,org.eclipse.jdt.core,1254984207235
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1254984207235
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1254984207610
started,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1254984207626
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1254984207704
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1254984207735
