what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1254968255640
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968262046
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968317546
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254968317546
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1254968321609
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968325406
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968380765
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254968380765
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1254968384421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968391703
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968448218
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254968448234
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1254968462468
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968470250
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968523578
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.TaskNavigatorViewPart,1254968523593
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1254968528859
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968533671
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968588187
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ModelNavigatorViewPart,1254968588187
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1254968597531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968629484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968701234
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254968702125
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254970551593
