what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254720713359
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254720713640
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254720720281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254720761437
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254720767250
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254720792843
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254720799000
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254720823593
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254720824484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254720867906
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254720867953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254720870140
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1254720870218
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1254720870281
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1254720870328
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254720873906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721358062
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721360718
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721379296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721381234
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721387265
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721388140
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721445531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721453781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254721708531
