what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976193578
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976197640
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976203203
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976205218
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976276640
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ModelNavigatorViewPart,1254976276656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976278625
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976371593
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1254976371593
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976374031
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976379390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976381078
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976384453
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976396750
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976427437
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1254976430171
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976441234
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976469906
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976471500
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976514281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976515656
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976518281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976519484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254976687531
started,bundle,org.eclipse.ui.views.properties.tabbed,3.4.2.M20090127-1700,org.eclipse.ui.views.properties.tabbed,1254976687578
