what,kind,bundleId,bundleVersion,description,time
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1255064167000
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ProjectNavigatorView,1255064167421
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.editors.TPLDiagramEditor,1255064167656
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ModelNavigatorViewPart,1255064168515
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255064175937
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255064181203
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.monitoring.MonitoringLogView,1255064181312
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255064187140
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255064191468
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1255064191640
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1255064191671
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1255064191687
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1255064191687
activated,editor,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.editors.TPLEditor,1255064195140
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1255064203171
started,bundle,org.eclipse.ecf.presence,1.4.0.v20081224-1728,org.eclipse.ecf.presence,1255064209953
started,bundle,org.eclipse.ecf.presence.ui,1.2.0.v20081224-1728,org.eclipse.ecf.presence.ui,1255064209953
started,bundle,org.eclipse.ecf.docshare,2.0.0.v20081224-1728,org.eclipse.ecf.docshare,1255064209968
started,bundle,org.eclipse.ecf.example.collab,1.3.0.v20081224-1728,org.eclipse.ecf.example.collab,1255064210046
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1255064210109
started,bundle,ch.ethz.iks.r_osgi.remote,1.0.0.RC2_v20081224-1728,ch.ethz.iks.r_osgi.remote,1255064210296
started,bundle,org.eclipse.ecf.provider.r_osgi,2.0.100.v20081224-1728,org.eclipse.ecf.provider.r_osgi,1255064210296
started,bundle,org.eclipse.ecf.provider.bittorrent,0.3.100.v20081224-1728,org.eclipse.ecf.provider.bittorrent,1255064210312
started,bundle,org.eclipse.ecf.provider.msn,1.2.0.v20081224-1728,org.eclipse.ecf.provider.msn,1255064210328
started,bundle,org.eclipse.ecf.provider.discovery,2.1.100.v20081224-1728,org.eclipse.ecf.provider.discovery,1255064210328
