what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254370275486
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254370334564
started,bundle,org.eclipse.ui.views.properties.tabbed,3.4.2.M20090127-1700,org.eclipse.ui.views.properties.tabbed,1254370334611
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ProjectNavigatorView,1254370334705
started,bundle,org.eclipse.nab.core,0.9.9.200806181757,org.eclipse.nab.core,1254370335049
stopped,bundle,org.eclipse.nab.mwt.jni,3.97.12.200806181757,org.eclipse.nab.mwt.jni,1254370335064
stopped,bundle,org.eclipse.nab.mwt,0.9.9.200806181757,org.eclipse.nab.mwt,1254370335080
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254370341752
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254370342720
started,bundle,org.eclipse.jdt.core,3.4.4.v_894_R34x,org.eclipse.jdt.core,1254370343033
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1254370343033
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1254370343064
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1254370343111
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1254370343705
started,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1254370343720
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1254370343814
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1254370343830
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1254370343845
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254370344142
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1254370344408
stopped,bundle,org.eclipse.rcp,3.4.1.R342_v20090205,org.eclipse.rcp,1254370344564
stopped,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1254370344564
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1254370344564
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1254370344564
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1254370344564
