what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.nab.core,0.9.9.200806181757,org.eclipse.nab.core,1255067098109
stopped,bundle,org.eclipse.nab.mwt.jni,3.97.12.200806181757,org.eclipse.nab.mwt.jni,1255067098125
stopped,bundle,org.eclipse.nab.mwt,0.9.9.200806181757,org.eclipse.nab.mwt,1255067098140
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1255067099828
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ModelNavigatorViewPart,1255067101296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255067128546
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255067395078
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255067395171
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255067396578
started,bundle,org.eclipse.jdt.core,3.4.4.v_894_R34x,org.eclipse.jdt.core,1255067396812
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1255067396812
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1255067396843
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1255067396859
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1255067397031
started,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1255067397343
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1255067397375
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1255067397375
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1255067397390
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255067397640
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1255067398031
stopped,bundle,org.eclipse.rse.dstore.security,3.0.0.v20080609,org.eclipse.rse.dstore.security,1255067398265
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1255067398265
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1255067398265
stopped,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1255067398265
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1255067398265
