what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254965066281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254965223171
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254965226015
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254965831921
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254965833468
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966379796
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966383953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966388906
opened,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.task.controller,1254966389000
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.task.controller,1254966389062
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1254966389062
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1254966389062
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966410375
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.diagram.views.ModelNavigatorViewPart,1254966413468
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966413468
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.task.controller,1254966414750
activated,view,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.pde.runtime.LogView,1254966417453
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.task.controller,1254966418343
closed,view,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.pde.runtime.LogView,1254966418343
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1254966419359
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1254966419390
activated,view,kr.re.etri.tpl,1.0.0,kr.re.etri.tpl.script.task.controller,1254966420125
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966430515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966487906
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254966490796
